		
	Право	Зависимое право
	Чтение	Добавление
	Чтение	Изменение
	Чтение	Удаление
	Чтение	Просмотр
	Просмотр	Редактирование
	Просмотр	ВводПоСтроке
	Добавление	ИнтерактивноеДобавление
	Изменение	Редактирование
	Изменение	Проведение
	Изменение	ОтменаПроведения
	Удаление	ИнтерактивноеУдаление
	Удаление	ИнтерактивноеУдалениеПомеченных
	Редактирование	ИнтерактивноеДобавление
	Редактирование	ИнтерактивноеУдаление
	Редактирование	ИнтерактивноеУдалениеПомеченных
	Редактирование	ИнтерактивнаяПометкаУдаления
	Редактирование	ИнтерактивноеСнятиеПометкиУдаления
	Редактирование	ИнтерактивноеПроведение
	Редактирование	ИнтерактивнаяОтменаПроведения
	Редактирование	ИнтерактивноеИзменениеПроведенных
	Редактирование	ИнтерактивноеУдалениеПредопределенныхДанных
	Редактирование	ИнтерактивнаяПометкаУдаленияПредопределенныхДанных
	Редактирование	ИнтерактивноеСнятиеПометкиУдаленияПредопределенных
	Редактирование	ИнтерактивноеУдалениеПомеченныхПредопределенныхДан
	Проведение	ИнтерактивноеПроведение
	ОтменаПроведения	ИнтерактивнаяОтменаПроведения
	ИнтерактивноеПроведение	ИнтерактивноеПроведениеНеОперативное
	Использование	Просмотр
	ИнтерактивноеУдаление	ИнтерактивноеУдалениеПредопределенныхДанных
	ИнтерактивнаяПометкаУдаления	ИнтерактивнаяПометкаУдаленияПредопределенныхДанных
	ИнтерактивноеСнятиеПометкиУдаления	ИнтерактивноеСнятиеПометкиУдаленияПредопределенныхДанных
	ИнтерактивноеУдалениеПомеченных	ИнтерактивноеУдалениеПомеченныхПредопределенныхДанных
